race_cat,race,age_bin,age_cat,date,date_start,age,pop,all_covid,all_pop,covid_prop,pop_prop,week_from_start,lm_mean,lm_se,lm_lower,lm_upper
Asian,asian,40-64,40 to 64,2021-04-20,2021-04-14,40,2012354,69,12163645,0.11594202898550725,0.1654400469596079,59,0.09140378840215746,0.006654597462439384,0.07836077737577626,0.10444679942853866
Asian,asian,40-64,40 to 64,2021-04-27,2021-04-21,40,2012664,63,12162834,0.12698412698412698,0.1654765657411751,60,0.09079515380911696,0.006948678109320085,0.07717574471484959,0.10441456290338433
Asian,asian,40-64,40 to 64,2021-05-04,2021-04-28,40,2012971,58,12162022,0.1206896551724138,0.16551285633260654,61,0.09012442491850803,0.007217486706726683,0.07597815097332374,0.10427069886369232
Asian,asian,40-64,40 to 64,2021-05-11,2021-05-05,40,2013281,54,12161212,0.018518518518518517,0.16554937123043328,62,0.0894025794031661,0.007469932944369039,0.07476151083220278,0.1040436479741294
Asian,asian,40-64,40 to 64,2021-05-18,2021-05-12,40,2013589,42,12160399,0.047619047619047616,0.16558576737490274,63,0.08864159235730129,0.00772194361352798,0.07350658287478645,0.10377660183981613
Asian,asian,40-64,40 to 64,2021-05-25,2021-05-19,40,2013899,54,12159588,0.037037037037037035,0.16562230562417082,64,0.08785443629649925,0.00799814602337143,0.07217807009069124,0.10353080250230726
Asian,asian,40-64,40 to 64,2021-06-01,2021-05-26,40,2014207,33,12158776,0.09090909090909091,0.16565869788208945,65,0.08705508115771987,0.008333104014570575,0.07072219728916154,0.1033879650262782
Asian,asian,40-64,40 to 64,2021-06-08,2021-06-02,40,2014516,44,12157965,0.11363636363636363,0.1656951636231886,66,0.08625849429929966,0.008771266463468281,0.06906681203090183,0.10345017656769749
Asian,asian,40-64,40 to 64,2021-06-15,2021-06-09,40,2014825,34,12157153,0.08823529411764706,0.16573164786196243,67,0.08548064050094972,0.00936472514249488,0.06712577922165976,0.10383550178023969
Asian,asian,40-64,40 to 64,2021-06-22,2021-06-16,40,2015134,24,12156342,0.125,0.16576812333841875,68,0.08473848196375633,0.01016854282780081,0.06480813802126674,0.10466882590624592
Asian,asian,40-64,40 to 64,2021-06-29,2021-06-23,40,2015443,40,12155529,0.025,0.16580463096258502,69,0.0840499783101809,0.011234829528977926,0.062029712433384177,0.10607024418697764
Asian,asian,40-64,40 to 64,2021-07-06,2021-06-30,40,2015752,34,12154720,0.08823529411764706,0.16584108889386182,70,0.08343408658406037,0.012607886523919823,0.05872262899717752,0.10814554417094323
